PassengerID,Survived
1,1
2,0
3,0
4,0
5,1
6,0
7,1
8,1
9,0
10,0
11,0
12,1
13,1
14,0
15,0
16,1
17,1
18,0
19,0
20,1
21,1
22,0
23,1
24,0
25,0
26,0
27,0
28,0
29,1
30,0
31,0
32,1
33,1
34,1
35,0
36,0
37,0
38,0
39,0
40,1
41,0
42,0
43,0
44,1
45,1
46,0
47,0
48,0
49,0
50,1
51,1
52,0
53,1
54,1
55,0
56,0
57,1
58,0
59,1
60,1
61,1
62,1
63,1
64,0
65,0
66,1
67,0
68,1
69,0
70,0
71,1
72,0
73,0
74,1
75,1
76,1
77,1
78,1
79,0
80,1
81,0
82,1
83,0
84,0
85,1
86,1
87,0
88,1
89,0
90,1
91,0
92,1
93,0
94,1
95,1
96,1
97,1
98,1
99,1
100,0
101,1
102,1
103,0
104,1
105,0
106,1
107,1
108,1
109,0
110,0
111,1
112,1
113,0
114,0
115,1
116,1
117,1
118,1
119,1
120,1
121,0
122,1
123,1
124,0
125,0
126,1
127,0
128,0
129,1
130,0
131,1
132,1
133,1
134,1
135,0
136,0
137,1
138,1
139,0
140,1
141,1
142,0
143,1
144,0
145,1
146,1
147,0
148,1
149,1
150,1
151,0
152,1
153,1
154,0
155,1
156,1
157,0
158,0
159,1
160,0
161,0
162,1
163,0
164,1
165,1
166,1
167,1
168,1
169,0
170,0
171,1
172,1
173,0
174,0
175,1
176,0
177,1
178,1
179,1
180,0
181,1
182,1
183,1
184,1
185,0
186,0
187,1
188,1
189,0
190,1
191,1
192,1
193,0
194,0
195,1
196,1
197,1
198,0
199,0
200,1
201,1
202,0
203,0
204,1
205,0
206,0
207,0
208,0
209,0
210,1
211,1
212,0
213,1
214,1
215,1
216,0
217,1
218,1
219,0
220,1
221,0
222,0
223,1
224,1
225,0
226,1
227,1
228,1
229,0
230,1
231,1
232,1
233,0
234,0
235,1
236,0
237,1
238,1
239,1
240,1
241,0
242,0
243,0
244,0
245,0
246,1
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,1
255,0
256,1
257,0
258,0
259,0
260,1
261,0
262,0
263,1
264,1
265,1
266,0
267,0
268,1
269,1
270,1
271,0
272,1
273,1
274,1
275,0
276,0
277,1
278,1
279,1
280,1
281,0
282,1
283,0
284,0
285,0
286,1
287,1
288,0
289,1
290,0
291,1
292,0
293,0
294,0
295,1
296,1
297,1
298,0
299,1
300,1
301,0
302,0
303,1
304,1
305,0
306,0
307,1
308,1
309,1
310,0
311,1
312,0
313,1
314,1
315,0
316,0
317,1
318,1
319,1
320,1
321,0
322,0
323,0
324,0
325,1
326,1
327,0
328,0
329,0
330,1
331,0
332,1
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,1
342,1
343,0
344,0
345,0
346,1
347,0
348,0
349,0
350,1
351,1
352,1
353,1
354,0
355,1
356,1
357,0
358,0
359,0
360,1
361,1
362,1
363,1
364,0
365,1
366,1
367,1
368,0
369,1
370,0
371,1
372,0
373,0
374,0
375,0
376,1
377,1
378,1
379,1
380,1
381,1
382,0
383,0
384,0
385,0
386,0
387,1
388,0
389,1
390,0
391,1
392,1
393,0
394,0
395,1
396,1
397,0
398,0
399,0
400,0
401,1
402,0
403,1
404,1
405,1
406,0
407,1
408,1
409,1
410,0
411,0
412,1
413,1
414,0
415,0
416,0
417,1
418,0
